id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00241000000032678000,00241000000032678002,9448273_2,1978-9-1,1982-7-1,00141010000000000000,郑州市,00333333300000718000,郑州工学院,00333333300000718000,
00241000000043846000,00241000000043846001,9448320_1,1979-9-1,1983-7-1,00141010000000000000,郑州市,00333333300000718000,郑州工学院,00333333300000718000,
00237000000019778000,00237000000019778001,9448356_1,1982-9-1,1985-7-1,00141020000000000000,开封市,00333333300004557000,开封师范高等专科学校,00333333300004557000,
00241000000007605000,00241000000007605001,9448378_1,1980-9-1,1984-7-1,00141010000000000000,郑州市,00333333300000372000,郑州大学,00333333300000372000,
00241000000032133000,00241000000032133002,9448596_2,1995-7-1,1997-6-1,00141000000000000000,河南省,00333333300000226000,河南大学,00333333300000226000,
00241000000032133000,00241000000032133005,9448596_5,1987-7-1,1989-7-1,00141000000000000000,河南省,00333333300004558000,河南省平顶山师专,00333333300004558000,
00241000000041873000,00241000000041873003,9448689_3,1979-9-1,1983-7-1,00141070000000000000,新乡市,00333333300000721000,新乡师范学院,00333333300000721000,
00263000000018582000,00263000000018582001,9448969_2,1996-9-1,1998-6-1,00131020000000000000,上海市县,00333333300000063000,省委党校,00333333300000063000,
00263000000018582000,00263000000018582003,9448969_5,1989-9-1,1992-7-1,00163000000000000000,青海省,00333333300004559000,青海省农林学校,00333333300004559000,
00237068300006460000,00237068300006460004,9449363_4,1971-12-1,1971-11-1,00111000000000000000,北京市,00333333300004560000,北京市西城区师范学校,00333333300004560000,
00223022100019403000,00223022100019403001,9452700_1_1,1984-8-1,1991-9-1,00123100000000000000,牡丹江市,00333333300001793000,牡丹江师范学校,00333333300001793000,
00231000000003141000,00231000000003141014,9456080_6,1983-9-1,1986-7-1,00111000000000000000,北京市,00333333300003728000,北京广播电视大学,00333333300003728000,
00243012100007247000,00243012100007247001,9456393_1_1,1980-9-1,1984-7-1,00143000000000000000,湖南省,00333333300000178000,湖南大学,00333333300000178000,
